author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Pombo, Jorge	3n	19.5	1857	1912	Bogotá (Colombia). 1857 - 1912	1	1	1	0	Bogotá (Colombia)		Colombia	América	Jorge		Pombo	M	90148933484054300013								Jorge Pombo	1		high
Pompa, Elías Calisto	656n	19.5	XIX	XX	Caracas (Venezuela). Siglo XIX - XX	0	0	0	0	Caracas (Venezuela)		Venezuela	América	Elías Calisto		Pompa	M												medium
Pondal y Abente, Eduardo	371n	19.5	1835	1917	Ponteceso (La Coruña). 1835 - La Coruña. 1917 Poeta español en lengua gallega. Médico.	1	1	1	0	Ponteceso (La Coruña)	La Coruña	España	Europa	Eduardo		Pondal y Abente	M												medium
Pueblo, Juan del	499n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Juan	del	Pueblo	M	305876925								Juan del Pueblo			high
Quesada y Alonso, R.	645n	19.5	XIX	XX	España. Siglos XIX-XX Poeta.	0	0	0	0	España		España	Europa	R.		Quesada y Alonso	M												medium
Quesada, Napoleón	480n	19.5	XIX	XX	Costa Rica. Siglos XIX - XX Profesor de Magisterio. Licenciado en Derecho.	0	0	0	0	Costa Rica		Costa Rica	América	Napoleón		Quesada	M												medium
Rebaque Thuillier, E.	138n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	E.		Rebaque Thuillier	M												medium
Río Franco, Eduardo de	341n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	Eduardo	de	Río Franco	M												medium
Rivera G., José Antonio	083n	19.5	XIX	XX	México. Siglo XIX - XX	0	0	0	0	México		México	América	José Antonio		Rivera G.	M												medium
Robainas, Francisco	186n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Francisco		Robainas	M												medium
Rodríguez Cáceres, Ricardo	359n	19.5	1862	1918	La Habana (Cuba). 1862 - 1918 Poeta.	1	1	1	0	La Habana (Cuba)		Cuba	América	Ricardo		Rodríguez Cáceres	M												medium
Rodríguez, Amada Rosa	452n	19.5	XIX	XX	Cuba. Siglo XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Amada Rosa		Rodríguez	F												medium
Ruiz Estébez, Francisco	690n	19.5	XIX	XX	Sevilla. Siglo XIX - XX	0	0	0	0	Sevilla		España	Europa	Francisco		Ruiz Estébez	M												medium
Ruiz Martínez, Cándido	349n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Cándido		Ruiz Martínez	M	665145858099223022252								Cándido Ruiz Martínez			high
Saenz Cordero, Efraín	535n	19.5	XIX	XX	Costa Rica. Siglo XIX - XX Poeta. No ha publicado nunca.	0	0	0	0	Costa Rica		Costa Rica	América	Efraín		Saenz Cordero	M												medium
